OBJECTID,FID,id,lat,long,cbsaName,cbsaGUID,plantId,tabID,panelID,panelNumbe,hoverText,heading,weeklyImpr,productTyp,POINT_X,POINT_Y
1,118544,683704,40.763263,-73.996509,"New York-Northern New Jersey-Long Island, NY-NJ-PA",F431156E-10EE-DD11-BFE8-001EC9ACE3EE,96453,30650812,1011873,1100,11TH AVENUE EL 50F S OF W 46TH STREET,N,218459,BULLETINS,-8237253.702,4977485.471
2,107366,436543,40.86215,-73.89769,"New York-Northern New Jersey-Long Island, NY-NJ-PA",F431156E-10EE-DD11-BFE8-001EC9ACE3EE,96453,480977,504228,319,GRAND CONCOURSE WL 100F S OF E FORDHAM RD,S,130209,POSTERS,-8226253.222,4992030.034
3,107752,437012,40.67444,-73.89578,"New York-Northern New Jersey-Long Island, NY-NJ-PA",F431156E-10EE-DD11-BFE8-001EC9ACE3EE,96453,480654,504966,653,LIBERTY AVENUE  NL 100F W OF VERMONT STREET,E,36808,POSTERS,-8226040.601,4964439.587
4,108058,443363,40.72401,-73.72577,"New York-Northern New Jersey-Long Island, NY-NJ-PA",F431156E-10EE-DD11-BFE8-001EC9ACE3EE,96453,481460,524569,20049,JERICHO TURPIKE  SL 5F E OF 246TH STREET,W,42666,JR POSTERS,-8207115.175,4971718.037
5,161860,436344,40.76889,-73.9086,,,96453,30918531,1155108,30034,ASTORIA BOULEVARD E/O STEINWAY STREET F/E,E,0,Digital,-8227467.717,4978312.524
6,121151,435257,40.81308,-73.90032,"New York-Northern New Jersey-Long Island, NY-NJ-PA",F431156E-10EE-DD11-BFE8-001EC9ACE3EE,96453,30661987,1029090,1319,SOUTHERN BOULEVARD  EL 5F S OF LEGGETT AVENUE,N,147059,POSTERS,-8226545.992,4984809.978
7,113149,673137,40.681257,-73.764696,"New York-Northern New Jersey-Long Island, NY-NJ-PA",F431156E-10EE-DD11-BFE8-001EC9ACE3EE,96453,30635689,995337,2501,MERRICK BOULEVARD  EL 50F S OF ANDERSON ROAD,S,61325,POSTERS,-8211448.397,4965440.218
8,107977,442276,40.6721,-73.91131,"New York-Northern New Jersey-Long Island, NY-NJ-PA",F431156E-10EE-DD11-BFE8-001EC9ACE3EE,96453,30635738,522966,40814,ROCKAWAY AVENUE  WL 5F N OF E NEW YORK AVENUE,N,27626,JR POSTERS,-8227769.393,4964096.134
9,108887,444350,40.62628,-74.15732,"New York-Northern New Jersey-Long Island, NY-NJ-PA",F431156E-10EE-DD11-BFE8-001EC9ACE3EE,96453,30496391,529084,1089,FOREST AVENUE NL 75F W OF MAPLE PARKWAY,W,59825,BULLETINS,-8255155.101,4957373.35
10,107240,436396,40.76258,-73.83423,"New York-Northern New Jersey-Long Island, NY-NJ-PA",F431156E-10EE-DD11-BFE8-001EC9ACE3EE,96453,30496268,503992,5029,NORTHERN BLVD NL 100F E OF COLLINS PLACE,W,147857,BULLETINS,-8219188.887,4977385.089
11,113356,673585,40.702304,-73.79158,"New York-Northern New Jersey-Long Island, NY-NJ-PA",F431156E-10EE-DD11-BFE8-001EC9ACE3EE,96453,30635677,996421,1708,LIBERTY AVENUE  NL 75F W OF MERRICK BOULEVARD,E,62215,POSTERS,-8214441.11,4968530.24
12,108022,442709,40.73544,-73.87678,"New York-Northern New Jersey-Long Island, NY-NJ-PA",F431156E-10EE-DD11-BFE8-001EC9ACE3EE,96453,481491,523630,5035,QUEENS BOULEVARD E/O GRAND AVENUE,E,232339,BULLETINS,-8223925.531,4973397.093
13,107997,442457,40.67371,-73.73282,"New York-Northern New Jersey-Long Island, NY-NJ-PA",F431156E-10EE-DD11-BFE8-001EC9ACE3EE,96453,30636390,523249,50371,MERRICK BOULEVARD  SL 100F W OF 242ND STREET,W,41941,JR POSTERS,-8207899.977,4964332.44
14,140352,729615,40.699362,-73.815159,"New York-Northern New Jersey-Long Island, NY-NJ-PA",F431156E-10EE-DD11-BFE8-001EC9ACE3EE,96453,30830095,1113005,5075,Van Wyck Expressway N/O Atlantic Ave.,N,554221,BULLETINS,-8217065.913,4968098.251
15,123416,699260,40.675504,-73.899429,"New York-Northern New Jersey-Long Island, NY-NJ-PA",F431156E-10EE-DD11-BFE8-001EC9ACE3EE,96453,30705859,1035487,1788,ATLANTIC AVENUE  SL 50F E OF ALABAMA AVENUE,N,104463,POSTERS,-8226446.806,4964595.759
16,107381,436560,40.75726,-73.86363,"New York-Northern New Jersey-Long Island, NY-NJ-PA",F431156E-10EE-DD11-BFE8-001EC9ACE3EE,96453,481500,504259,5025,NORTHERN BLVD NL 100F E OF 105TH STREET,W,155702,BULLETINS,-8222461.68,4976603.231
17,107119,436220,40.87909,-73.84348,"New York-Northern New Jersey-Long Island, NY-NJ-PA",F431156E-10EE-DD11-BFE8-001EC9ACE3EE,96453,480866,503732,216,BOSTON ROAD WL 50F S OF E 223RD STREET,S,65802,POSTERS,-8220218.592,4994523.791
18,144811,732922,40.647739,-73.915288,"New York-Northern New Jersey-Long Island, NY-NJ-PA",F431156E-10EE-DD11-BFE8-001EC9ACE3EE,96453,30851376,1121106,1358,DITMAS AVENUE NL 75F W OF REMSEN AVENUE,W,27824,POSTERS,-8228212.222,4960521.274
19,120212,693565,40.626876,-74.163641,"New York-Northern New Jersey-Long Island, NY-NJ-PA",F431156E-10EE-DD11-BFE8-001EC9ACE3EE,96453,30657974,1024743,9512,FOREST AVENUE  SL 250F W OF SAMUEL PLACE,E,40051,POSTERS,-8255858.752,4957460.766
20,118351,682464,40.637272,-73.926407,"New York-Northern New Jersey-Long Island, NY-NJ-PA",F431156E-10EE-DD11-BFE8-001EC9ACE3EE,96453,30650847,1009966,1743,KINGS HIGHWAY  WL 75F N OF PRESTON COURT,S,40641,POSTERS,-8229449.983,4958985.693
21,107586,436775,40.8666,-73.89536,"New York-Northern New Jersey-Long Island, NY-NJ-PA",F431156E-10EE-DD11-BFE8-001EC9ACE3EE,96453,481066,504599,297,E KINGSBRIDGE ROAD NL 5F E OF CRESTON AVENUE,W,39589,POSTERS,-8225993.847,4992685.062
22,112163,664832,40.811695,-73.90397,"New York-Northern New Jersey-Long Island, NY-NJ-PA",F431156E-10EE-DD11-BFE8-001EC9ACE3EE,96453,30598609,982945,1655,E 149TH STREET  SL 50F E OF SOUTHERN BOULEVARD,NW,111461,POSTERS,-8226952.308,4984606.27
23,125499,712005,40.6281,-74.1698,"New York-Northern New Jersey-Long Island, NY-NJ-PA",F431156E-10EE-DD11-BFE8-001EC9ACE3EE,96453,30736914,1064730,9517,FOREST AVENUE  NL 250F W OF NORTHFIELD AVENUE,E,22364,POSTERS,-8256544.368,4957640.295
24,107170,436311,40.84549,-73.93905,"New York-Northern New Jersey-Long Island, NY-NJ-PA",F431156E-10EE-DD11-BFE8-001EC9ACE3EE,96453,481537,503867,1041,BROADWAY N/O W 174TH STREET,S,244169,BULLETINS,-8230857.396,4989578.117
25,108930,444406,40.62512,-74.14876,"New York-Northern New Jersey-Long Island, NY-NJ-PA",F431156E-10EE-DD11-BFE8-001EC9ACE3EE,96453,30496329,529275,416,PT RICHMOND AVENUE  EL 75F N OF FOREST AVENUE,S,28174,POSTERS,-8254202.206,4957203.212
26,118417,683010,40.863095,-73.917861,"New York-Northern New Jersey-Long Island, NY-NJ-PA",F431156E-10EE-DD11-BFE8-001EC9ACE3EE,96453,30650819,1010656,1575,9TH AVENUE  EL 5F S OF W 206TH STREET,N,49749,POSTERS,-8228498.647,4992169.132
27,112777,444334,40.740888,-73.946727,"New York-Northern New Jersey-Long Island, NY-NJ-PA",F431156E-10EE-DD11-BFE8-001EC9ACE3EE,96453,30635722,991518,5069,L.I. EXPWY & QUEENS MIDTOWN TUNNEL,E,223288,BULLETINS,-8231711.996,4974197.501
28,106771,435843,40.83186,-73.94138,"New York-Northern New Jersey-Long Island, NY-NJ-PA",F431156E-10EE-DD11-BFE8-001EC9ACE3EE,96453,480401,503148,76,W 155TH STREET  NL 5F E OF ST NICHOLAS AVENUE,W,65883,POSTERS,-8231116.77,4987572.596
29,106758,435830,40.818089,-73.960708,"New York-Northern New Jersey-Long Island, NY-NJ-PA",F431156E-10EE-DD11-BFE8-001EC9ACE3EE,96453,480455,503123,68,W 125TH STREET  SL 5F W OF 12TH AVENUE,E,105360,POSTERS,-8233268.353,4985546.747
30,121115,695524,40.827634,-73.882965,"New York-Northern New Jersey-Long Island, NY-NJ-PA",F431156E-10EE-DD11-BFE8-001EC9ACE3EE,96453,30659636,1027882,1313,BRONX RIVER AVENUE  EL 75F S OF WESTCHESTER AVENUE,S,46795,POSTERS,-8224614.042,4986950.866
31,107260,436407,40.65152,-73.90945,"New York-Northern New Jersey-Long Island, NY-NJ-PA",F431156E-10EE-DD11-BFE8-001EC9ACE3EE,96453,30491973,504016,711,ROCKAWAY PARKWAY EL 50F N OF DITMAS AVENUE,S,37130,POSTERS,-8227562.339,4961076.032
32,121163,695672,40.67968,-73.95793,"New York-Northern New Jersey-Long Island, NY-NJ-PA",F431156E-10EE-DD11-BFE8-001EC9ACE3EE,96453,30663461,1029120,41059,ATLANTIC AVENUE  SL 75F E OF CLASSON AVENUE,W,103551,JR POSTERS,-8232959.108,4965208.729
33,110844,599099,40.866024,-73.859875,"New York-Northern New Jersey-Long Island, NY-NJ-PA",F431156E-10EE-DD11-BFE8-001EC9ACE3EE,96453,30598601,854675,1635,WILLIAMSBRIDGE ROAD  NL 250F E OF BOSTON ROAD,W,57269,POSTERS,-8222043.675,4992600.274
34,108793,444237,40.73235,-74.01024,"New York-Northern New Jersey-Long Island, NY-NJ-PA",F431156E-10EE-DD11-BFE8-001EC9ACE3EE,96453,30492076,528310,1563,WESTSIDE HIGHWAY  EL 5F N OF CHRISTOPHER STREET,S,407350,BULLETINS,-8238782.23,4972943.147
35,111872,664079,40.717754,-73.999969,"New York-Northern New Jersey-Long Island, NY-NJ-PA",F431156E-10EE-DD11-BFE8-001EC9ACE3EE,96453,30599266,980939,1530,CANAL STREET E/O CENTRE STREET,NW,483895,BULLETINS,-8237638.868,4970799.159
36,92466,366349,40.63528,-73.92878,"New York-Northern New Jersey-Long Island, NY-NJ-PA",F431156E-10EE-DD11-BFE8-001EC9ACE3EE,96453,30751516,1067328,1825,GLENWOOD ROAD  SL 50F W OF UTICA AVENUE,E,74268,POSTERS,-8229714.145,4958693.48
37,107120,436223,40.86687,-73.86065,"New York-Northern New Jersey-Long Island, NY-NJ-PA",F431156E-10EE-DD11-BFE8-001EC9ACE3EE,96453,480851,503735,409,WILLIAMSBRIDGE ROAD  NL 150F E OF BOSTON ROAD,W,16979,POSTERS,-8222129.948,4992724.806
38,123768,707569,40.712743,-73.937408,"New York-Northern New Jersey-Long Island, NY-NJ-PA",F431156E-10EE-DD11-BFE8-001EC9ACE3EE,96453,30716728,1047507,1814,GRAND STREET  NL 50F W OF CATHERINE STREET,W,34581,POSTERS,-8230674.609,4970063.208
39,108065,443499,40.83191,-73.90959,"New York-Northern New Jersey-Long Island, NY-NJ-PA",F431156E-10EE-DD11-BFE8-001EC9ACE3EE,96453,30491900,524788,70151,E 168TH STREET  SL 75F W OF BROOK AVENUE,W,42927,JR POSTERS,-8227577.924,4987579.953
40,112994,436512,40.858304,-73.884462,"New York-Northern New Jersey-Long Island, NY-NJ-PA",F431156E-10EE-DD11-BFE8-001EC9ACE3EE,96453,30635726,992692,7512,E FORDHAM ROAD  NL 50F W OF HUGHES AVENUE,E,97047,POSTERS,-8224780.687,4991463.948
41,144810,732922,40.647739,-73.915288,"New York-Northern New Jersey-Long Island, NY-NJ-PA",F431156E-10EE-DD11-BFE8-001EC9ACE3EE,96453,30851375,1121105,1357,DITMAS AVENUE NL 75F W OF REMSEN AVENUE,E,35808,POSTERS,-8228212.222,4960521.274
